channel,campaign_network,clicks,sessions_d0,installs,voucher advance buy now success_events,voucher advance success_events,vodapay club subscription_events
CVM Push Notifications,Vouchers New and Existing Users,0,0,0,333,6,0
VFS CVM SMS Campaigns,Vouchers New and Existing Users,1169,33,10,127,8,8
CVM WhatsApp Campaigns,Subscribe to VodaPay Club and Get A R20 Coupon,360,26,9,28,2,0
CVM Push Notifications,Subscribe to VodaPay Club and Get A discount,19594,137,11,27,1,0
CVM Push Notifications,Subscribe to VodaPay Club and Get A R20 Coupon,15005,101,11,21,1,0
VFS CVM SMS Campaigns,Betway Bucks Vouchers Awareness,0,0,0,15,1,0
VFS CVM SMS Campaigns,Subscribe to VodaPay Club and Get A R20 Coupon,13900,530,161,14,1,5
CVM WhatsApp Campaigns,VodaPay Club Channel Testing,13,2,1,12,1,1
TikTok for Business,ZA_26_AO_FIN_PAY_X_P_VP_00_005-26-372_VodaPay Club - Channel Test - FY26 – Q4 - TikTok - Auction - Subscription,0,0,0,12,0,0
CVM Push Notifications,Vouchers Dynamic Pricing,0,0,0,11,0,0
Facebook,ZA_27_AO_FIN_PAY_X_P_VP_00_016-27-372_VodaPay Club Subscription Test - FY27 - Q1 - Telco - Facebook - Auction – Conversion,0,0,0,11,0,0
Connect U : Banner,Vouchers,313208,975,348,10,0,0
VFS CVM SMS Campaigns,Subscribe to VodaPay Club and Get A Discount,15548,615,185,10,0,3
VFS CVM SMS Campaigns,Vouchers receipt tracking | Intercape Official,0,0,0,10,0,1
TikTok for Business,ZA_26_AO_FIN_PAY_X_P_VP_00_005-26-372_VodaPay Club - Channel Test - FY26 – Q4 - TikTok - Auction - Purchases,0,0,0,9,0,0
Vodamedia,VP Vouchers | Nandos | AO,8835,10,0,9,0,0
CVM Push Notifications,VodaPay Club Channel Testing,0,0,0,6,1,0
TikTok for Business,ZA_25_AO_FIN_PAY_X_P_VP_00_035-25-372_VodaPay - Always On - FY25 - H2 - Vouchers - Auction - App Installs,0,0,0,5,0,0
Vodamedia,VP Vouchers |SweepSouth| 40%,9660,16,7,5,0,0
Daily Unlock | Summer,Vouchers | BP AO| Summer,0,0,0,4,0,0
Partner Newsletter | Panarottis,VP Vouchers | Panarottis | AO,0,0,0,4,0,0
VFS CVM SMS Campaigns,MVA Voucher Advance,10,0,0,4,0,0
Vodamedia,VP Vouchers | Poetry | VPC 15%,5987,4,1,4,0,0
Vodamedia,VP Vouchers | Spur| AO,10996,8,4,4,0,0
Vodamedia,VP Vouchers | Cape Union and Old Khaki,8497,7,2,3,0,0
Vodamedia,VP Vouchers | Generic | Club,29258,48,20,2,0,0
Vodamedia,VP Vouchers |bp| 10%,22415,27,10,2,0,0
Vodamedia,VP Vouchers |Travelwings | AO,7528,3,2,2,0,0
CVM Push Notifications,Voucher Advance,0,0,0,1,0,0
Daily Unlock | Summer,VP Vouchers | Steers | AO,0,0,0,1,0,0
VFS CVM SMS Campaigns,Vouchers Buy Now,7,0,0,1,0,0
VFS CVM SMS Campaigns,Vouchers Dynamic Pricing,3,0,0,1,0,0
VFS CVM SMS Campaigns,Vouchers receipt tracking | Netflorist,0,0,0,1,0,0
