Day,Daily,,Weekly,,Monthly,,Yearly,
Day,Visits,Errors,Visits,Errors,Visits,Errors,Visits,Errors
2026-05-07 00:00:00,595,241,183,91,529,244,71,34
2026-05-08 00:00:00,569,406,166,152,607,543,81,78
2026-05-09 00:00:00,522,394,170,150,518,459,76,71
2026-05-10 00:00:00,518,384,129,103,424,362,80,73
2026-05-11 00:00:00,497,325,142,114,440,385,63,61
2026-05-12 00:00:00,435,302,109,97,413,352,58,55
2026-05-13 00:00:00,372,260,105,88,367,329,54,49
2026-05-14 00:00:00,439,320,122,102,421,375,59,55
2026-05-15 00:00:00,484,361,143,125,502,443,70,68
2026-05-16 00:00:00,532,378,119,101,500,437,67,61
2026-05-17 00:00:00,470,333,126,101,363,315,68,62
2026-05-18 00:00:00,419,298,130,111,403,339,47,46
2026-05-19 00:00:00,457,308,108,86,413,357,43,41
2026-05-20 00:00:00,393,295,111,99,372,328,39,39
2026-05-21 00:00:00,421,313,124,101,401,358,50,49
2026-05-22 00:00:00,577,422,182,156,464,417,76,69
2026-05-23 00:00:00,244,181,81,73,203,187,37,34
2026-05-24 00:00:00,372,251,91,70,286,249,45,41
2026-05-25 00:00:00,507,369,128,112,395,363,50,47
2026-05-26 00:00:00,486,353,119,105,381,337,61,59
2026-05-27 00:00:00,439,331,129,112,343,296,53,52
2026-05-28 00:00:00,492,293,103,76,369,277,62,51
2026-05-29 00:00:00,466,277,122,83,350,269,66,49
2026-05-30 00:00:00,565,365,120,98,358,308,69,66
2026-05-31 00:00:00,521,370,111,97,377,333,63,59
2026-06-01 00:00:00,508,360,117,90,375,319,49,45
2026-06-02 00:00:00,446,318,117,95,349,291,50,48
2026-06-03 00:00:00,476,333,101,88,380,345,54,50
2026-06-04 00:00:00,511,345,138,124,359,307,34,31
2026-06-05 00:00:00,492,321,118,97,355,299,54,46
2026-06-06 00:00:00,497,333,117,101,363,321,63,60
2026-06-07 00:00:00,495,314,118,100,333,290,41,38
2026-06-08 00:00:00,498,308,127,104,373,319,47,43
2026-06-09 00:00:00,411,281,124,94,354,305,61,54
2026-06-10 00:00:00,468,302,112,91,400,342,42,39
2026-06-11 00:00:00,446,288,106,88,402,351,46,43
2026-06-12 00:00:00,444,290,121,101,399,335,52,47
2026-06-13 00:00:00,502,322,160,132,417,356,67,58
2026-06-14 00:00:00,444,324,116,93,361,326,64,60
2026-06-15 00:00:00,435,291,119,104,394,353,54,49
2026-06-16 00:00:00,383,250,96,73,360,315,57,53
2026-06-17 00:00:00,362,241,91,74,338,304,45,43
2026-06-18 00:00:00,370,265,89,76,326,283,53,50
2026-06-19 00:00:00,436,294,120,93,381,319,64,60
2026-06-20 00:00:00,631,381,175,134,478,397,54,50
2026-06-21 00:00:00,489,315,131,109,396,334,73,68
2026-06-22 00:00:00,446,279,105,77,508,449,58,54
2026-06-23 00:00:00,436,282,114,89,522,468,50,44
2026-06-24 00:00:00,468,322,129,106,448,390,60,60
2026-06-25 00:00:00,544,364,175,127,450,373,57,54
2026-06-26 00:00:00,552,347,182,132,512,433,86,75
2026-06-27 00:00:00,513,305,149,96,451,385,63,59
2026-06-28 00:00:00,452,264,135,80,424,359,49,47
2026-06-29 00:00:00,407,260,123,73,360,309,53,52
2026-06-30 00:00:00,461,255,125,80,335,270,49,44
2026-07-01 00:00:00,485,267,169,103,417,328,58,55
2026-07-02 00:00:00,336,200,100,51,279,230,45,42
2026-07-03 00:00:00,293,196,93,76,337,294,51,48
2026-07-04 00:00:00,559,359,135,116,553,484,69,68
2026-07-05 00:00:00,431,298,102,75,381,324,63,59
2026-07-06 00:00:00,482,309,129,97,467,393,69,64
2026-07-07 00:00:00,441,293,113,85,441,391,72,68
2026-07-08 00:00:00,439,269,104,79,388,334,72,68
2026-07-09 00:00:00,616,404,137,115,519,462,95,93
2026-07-10 00:00:00,959,745,288,259,1097,1001,145,138
2026-07-11 00:00:00,1005,756,303,267,1005,937,155,151
2026-07-12 00:00:00,850,649,229,204,801,728,132,131
2026-07-13 00:00:00,771,571,243,183,748,646,116,109
2026-07-14 00:00:00,776,561,252,179,683,619,140,136
2026-07-15 00:00:00,726,550,210,172,698,652,121,120
2026-07-16 00:00:00,731,527,248,178,636,590,108,99
2026-07-17 00:00:00,914,711,299,237,980,906,172,168
2026-07-18 00:00:00,1002,793,299,248,1018,924,192,185
2026-07-19 00:00:00,809,654,217,166,773,705,137,131
2026-07-20 00:00:00,730,556,273,182,774,705,132,131
2026-07-21 00:00:00,702,517,239,170,725,668,106,104
2026-07-22 00:00:00,700,505,253,187,621,570,94,91
2026-07-23 00:00:00,799,584,267,211,722,658,120,120
2026-07-24 00:00:00,1025,819,341,271,1071,975,191,185
2026-07-25 00:00:00,989,802,329,290,944,859,178,177
2026-07-26 00:00:00,746,596,193,159,677,615,139,134
2026-07-27 00:00:00,794,629,276,226,852,782,140,132
2026-07-28 00:00:00,884,662,274,204,884,747,155,143
2026-07-29 00:00:00,780,633,255,217,790,721,126,120
2026-07-30 00:00:00,1023,802,329,245,981,921,196,191
2026-07-31 00:00:00,1134,882,364,295,1037,936,162,157
