,Last month,,,,,,2 months ago,,,,,
Product,Product Views,Cart Additions,Voucher Advance buy now success,Cart to Success Rate,Units,GMV,Product Views,Cart Additions,Voucher Advance buy now success,Cart to Success Rate,Units,GMV
betway bucks r25 voucher,112135,38391,6252,0.162850668125341,6373,159325,87388,32552,4990,0.153293192430572,5105,127625
betway bucks r50 voucher,107934,11684,3960,0.338925025676138,4043,202150,82849,10609,3437,0.323970213969271,3527,176350
betway bucks r75 voucher,106384,3188,1058,0.331869510664993,1060,79500,80981,2806,910,0.324305060584461,922,69150
betway bucks r100 voucher,106309,7021,2723,0.387836490528414,3107,310700,80900,6645,2538,0.381941309255079,2851,285100
betway bucks r150,106176,3326,1263,0.379735417919422,1347,202050,80733,2970,1192,0.401346801346801,1257,188550
betway bucks r300 voucher,106139,22172,5068,0.228576583077755,10394,3118200,80693,16128,3955,0.245225694444444,7935,2380500
r10 hollywood bets voucher,102382,22227,8628,0.38817654204346,9261,92610,100693,22319,9115,0.408396433531968,9848,98480
r5 hollywood bets voucher,102339,36242,12659,0.349290877986866,13661,68305,102561,43082,13296,0.308620769695,14400,72000
r20 hollywood bets voucher,101284,17414,7237,0.415585161364419,8292,165840,99496,20691,9142,0.441834614083417,10325,206500
r50 hollywood bets voucher,97359,8470,3531,0.416883116883116,3704,185200,95114,11108,4728,0.425639178970111,5011,250550
r100 hollywood bets voucher,96546,11013,3044,0.276400617452102,4806,480600,93928,13141,3836,0.291910813484514,5887,588700
r25 blu voucher,93972,5007,359,0.0716996205312562,400,10000,98975,5096,464,0.0910518053375196,560,14000
r50 blu voucher,92896,1763,354,0.200794100964265,397,19850,96693,1762,430,0.244040862656072,467,23350
r75 blu voucher,92694,660,128,0.193939393939393,133,9975,96181,793,175,0.220680958385876,193,14475
r100 blu voucher,92654,4054,855,0.210902812037493,1779,177900,96141,4044,910,0.225024727992087,1813,181300
r10 lottostar voucher,50255,3658,518,0.141607435757244,541,5410,51731,3786,559,0.147649234020073,597,5970
r10 supersportbet voucher,43468,2602,529,0.203305149884704,556,5560,44317,2836,521,0.183709449929478,547,5470
r50 shoprite voucher,37076,3490,44,0.0126074498567335,48,2400,44279,4469,70,0.0156634593868874,77,3850
r50 kfc voucher,35551,5628,55,0.00977256574271499,111,5550,41977,5924,95,0.0160364618501012,121,6050
r75 kfc voucher,33903,1596,33,0.0206766917293233,400,30000,39020,1762,49,0.0278093076049943,244,18300
kfc r50 voucher,33900,166,25,0.150602409638554,25,1250,39997,183,28,0.153005464480874,28,1400
r100 kfc voucher,33779,2104,94,0.0446768060836501,455,45500,39553,2551,110,0.0431203449627597,292,29200
r75 shoprite voucher,33683,685,18,0.0262773722627737,223,16725,39905,861,21,0.024390243902439,125,9375
kfc r75 voucher,33594,88,32,0.363636363636363,32,2400,39333,92,31,0.33695652173913,32,2400
kfc r100 voucher,33549,120,46,0.383333333333333,48,4800,39275,138,51,0.369565217391304,54,5400
kfc r150 voucher,33491,255,83,0.325490196078431,93,13950,39155,303,117,0.386138613861386,136,20400
shoprite r75 voucher,33263,255,26,0.101960784313725,26,1950,39474,283,25,0.0883392226148409,26,1950
r150 shoprite voucher,33154,555,17,0.0306306306306306,71,10650,39239,637,15,0.0235478806907378,35,5250
r200 shoprite voucher,33063,581,51,0.0877796901893287,125,25000,39127,830,60,0.072289156626506,98,19600
shoprite r150 voucher,33052,85,19,0.223529411764705,23,3450,39121,67,12,0.17910447761194,12,1800
shoprite r200 voucher,33036,100,38,0.38,41,8200,39054,368,85,0.230978260869565,152,30400
shoprite r400 voucher,32907,834,155,0.185851318944844,374,149600,38944,3825,974,0.254640522875817,1714,685600
r600 shoprite voucher,32901,964,25,0.0259336099585062,32,19200,38913,1470,19,0.0129251700680272,24,14400
shoprite r600 voucher,30427,3317,662,0.199577931866144,1693,1015800,38939,847,0,0,0,0
r400 shoprite voucher,30022,407,8,0.0196560196560196,8,3200,0,0,0,,0,0
r20 lottostar voucher,27104,2197,463,0.210741920801092,539,10780,29394,2163,458,0.211742949607027,510,10200
r25 wanejo bets voucher,22166,1308,43,0.032874617737003,43,1023.83,0,0,0,,0,0
r50 checkers voucher,21628,1284,70,0.0545171339563862,72,3600,27531,1593,69,0.0433145009416195,73,3650
r20 supersportbet voucher,20351,1276,304,0.238244514106583,327,6540,21780,1376,387,0.28125,404,8080
r75 checkers voucher,18138,319,13,0.0407523510971786,186,13950,22851,403,13,0.032258064516129,83,6225
checkers r75 voucher,17743,128,24,0.1875,25,1875,22384,178,31,0.174157303370786,32,2400
r150 checkers voucher,17615,199,8,0.0402010050251256,9,1350,22183,294,17,0.0578231292517006,17,2550
r30 nando's voucher,17559,400,50,0.125,50,736,22633,454,26,0.0572687224669603,26,376
r200 checkers voucher,17555,233,23,0.0987124463519313,114,22800,22079,341,33,0.0967741935483871,65,13000
checkers r150 voucher,17516,63,21,0.333333333333333,22,3300,22041,102,28,0.274509803921568,28,4200
checkers r200 voucher,17477,116,52,0.448275862068965,57,11400,21991,396,88,0.222222222222222,114,22800
r400 checkers voucher,17397,299,3,0.0100334448160535,3,1200,8872,182,0,0,0,0
checkers r400 voucher,17379,583,105,0.180102915951972,151,60400,21876,2030,243,0.119704433497536,297,118800
r600 checkers voucher,17359,377,12,0.0318302387267904,15,9000,21854,590,21,0.035593220338983,23,13800
r200 bp voucher,17304,3670,299,0.0814713896457765,318,64430,18150,3621,324,0.0894780447390223,342,69235
r100 spur voucher,16542,1047,65,0.0620821394460362,70,6332.26,18150,1072,219,0.204291044776119,396,39600
r400 bp voucher,16404,597,354,0.592964824120603,394,157600,17338,653,374,0.572741194486983,414,165600
bp r400 voucher,16374,1240,236,0.190322580645161,267,109460,17252,1204,250,0.207641196013289,275,112740
r800 bp voucher,16366,1752,915,0.522260273972602,1184,947200,17242,1711,870,0.508474576271186,1129,903200
bp r800 voucher,16343,1372,235,0.171282798833819,258,211560,17216,1411,231,0.163713678242381,257,210740
checkers r600 voucher,16011,2930,317,0.108191126279863,667,400200,21839,1802,0,0,0,0
r25 supersportbet voucher,13185,715,139,0.194405594405594,157,3925,13991,796,168,0.211055276381909,175,4375
ebet r50 voucher,12487,1801,52,0.0288728484175458,73,3335.5,10597,1085,59,0.0543778801843317,96,4302.42
spur r75 voucher,11869,2323,186,0.0800688764528626,513,36883.08,18825,1492,92,0.0616621983914209,141,10575
r50 nando's voucher,10621,637,9,0.0141287284144427,9,450,7218,372,13,0.0349462365591397,13,650
r75 roman's pizza voucher,10075,1521,38,0.0249835634451019,38,2850,6577,614,33,0.0537459283387622,36,2700
r150 spur voucher,10057,42,0,0,0,0,17520,1915,265,0.138381201044386,520,72907.2
r50 lottostar voucher,9912,735,219,0.297959183673469,222,11100,9988,834,254,0.304556354916067,261,13050
r140 2d nu metro voucher,9874,217,43,0.198156682027649,92,8586.36,8562,200,31,0.155,76,7093.08
r140 3d nu metro voucher,9867,249,15,0.0602409638554216,33,3079.89,8541,115,7,0.0608695652173913,17,1586.6100000000001
r175 full vip 3d nu metro voucher,9865,729,41,0.0562414266117969,80,10177.25,8485,656,18,0.0274390243902439,40,5133.5
r175 full vip 2d nu metro voucher,9861,1017,158,0.15535889872173,322,41696.24,8493,1018,141,0.138506876227897,295,38025.6
r135 2d nu metro voucher,9769,1687,87,0.0515708358032009,188,20245.72,8399,4907,64,0.0130425922152027,139,14968.91
r135 3d nu metro voucher,9764,923,24,0.0260021668472372,50,5384.5,8406,720,17,0.0236111111111111,24,2584.56
r100 roman's pizza voucher,9548,450,31,0.0688888888888888,37,3700,6097,223,25,0.112107623318385,47,4700
r150 roman's pizza voucher,9131,761,106,0.139290407358738,171,25650,5529,531,111,0.209039548022598,189,28350
r75 intercape voucher,8885,734,5,0.00681198910081743,5,322.23,9434,810,8,0.00987654320987654,18,1171.28
r75 nando's voucher,8531,258,5,0.0193798449612403,95,7125,5181,188,7,0.0372340425531914,159,11925
r100 nando's voucher,8299,377,61,0.161803713527851,144,14400,4921,322,55,0.170807453416149,187,18700
r85 med. soda & pop nu metro voucher,7751,2151,217,0.100883310088331,438,27451.88,8942,2508,287,0.114433811802232,538,33685.03
r30 supersportbet voucher,7465,508,125,0.246062992125984,129,3870,7795,559,161,0.288014311270125,165,4950
r100 lottostar voucher,7363,554,215,0.388086642599278,231,23100,6692,422,171,0.40521327014218,176,17600
wanejo bets r25 voucher,7263,200,19,0.095,19,413.06,0,0,0,,0,0
r200 lottostar voucher,7162,410,80,0.195121951219512,86,17200,6366,393,48,0.122137404580152,53,10600
r1000 lottostar voucher,7093,379,97,0.255936675461741,140,140000,6297,243,48,0.19753086419753,77,77000
r500 lottostar voucher,7093,225,64,0.284444444444444,65,32500,6297,130,29,0.223076923076923,29,14500
